Approval Year,Member,Sector,Financing Type,Project Name,Financing Amount,Status
2023,Côte d'Ivoire,Transport,Sovereign,Côte d’Ivoire: Inclusive Connectivity and Rural Infrastructure Project,Approved Financing: USD200 million,Approved
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: First Digital Transformation Development Policy Financing,Approved Financing: USD400 million,Approved
2025,Pakistan,Water,Sovereign,Pakistan: Karachi Water and Sewerage Services Improvement Project-2 (KWSSIP- 2),Approved Financing: USD240 million,Approved
2018,Indonesia,Urban,Sovereign,Indonesia: Mandalika Urban and Tourism Infrastructure,Approved Financing: USD248.4 million,Approved
2021,Mongolia,CRF-Public Health,Sovereign,Mongolia: Support for COVID-19 Vaccine Delivery in Mongolia under the Asia Pacific Vaccine Access Facility,Approved Financing: USD21 million,Approved
2020,Bangladesh,CRF-Public Health,Sovereign,Bangladesh: COVID-19 Emergency Response and Pandemic Preparedness Project,Approved Financing: USD100 million,Approved
2018,Indonesia,Water,Sovereign,Indonesia: Strategic Irrigation Modernization and Urgent Rehabilitation Project,Approved Financing: USD250 million,Approved
2023,Indonesia,CRF-Economic Resilience/PBF,Sovereign,Indonesia: Boosting Productivity through Human Capital Development Program- Subprogram 2,Approved Financing: USD500 million,Approved
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: Build Universal Health Care Program (Subprogram 2),Approved Financing: USD450 million,Approved
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: Domestic Resource Mobilization Program (Subprogram 1),Approved Financing: USD400 million,Approved
2025,Kyrgyzstan,Water,Sovereign,Kyrgyzstan: Water Supply and Sanitation Universal Access Project,Approved Financing: USD50 million,Approved
2021,Sri Lanka,CRF- Finance/Liquidity,Sovereign,Sri Lanka: COVID- 19 Emergency and Crisis Response Facility,Approved Financing: USD180 million,Approved
-,Brazil,Energy,Sovereign,Brazil: BNDES Green and Sustainable Infrastructure On- Lending,Proposed Funding: USD250 million,Proposed
-,Philippines,Transport,Sovereign,Philippines: Manila Metro Rail Transit Line 4 (MRT4) Project,Proposed Funding: USD537.4 million,Proposed
-,China,Digital Infrastructure and Technology,Sovereign,China: Guangzhou Smart City Project Phase 1,Proposed Funding: USD200 million,Proposed
-,Sri Lanka,Energy,Sovereign,Sri Lanka: Sampur Solar PV Power Project Financing,Proposed Funding: USD20 million,Proposed
2025,Multicountry,Multi-sector,Nonsovereign,Multicountry: Supporting Trade Facilitation in Emerging Markets,Approved Financing:,Approved
2019,Türkiye,Energy,Sovereign,Türkiye: TKYB Renewable Energy and Energy Efficiency On- Lending Facility,Approved Financing: USD300 million,Approved
2025,Bangladesh,Multi-sector,Nonsovereign,Bangladesh: Infrastructure Development Financing Facility,Approved Financing: USD50 million,Approved
2022,Multicountry,Other,Nonsovereign,Multicountry: CITIC Capital Pan Eurasia Fund - Co- Investment Project Spark (China),Approved Financing: USD5 million,Approved
2025,Multicountry,Water,Nonsovereign,Multicountry: Patria Infrastructure Fund V - Co-Investment: Project Aqua,Approved Financing: USD10 million,Approved
2025,Uzbekistan,Energy,Nonsovereign,Uzbekistan: Nukus II 200MW Wind and BESS Project,Approved Financing: USD75 million,Approved
2025,Saudi Arabia,Water,Nonsovereign,Saudi Arabia: SWA Desalination Rebuild and Upgrades,Approved Financing: USD300 million,Approved
-,Sri Lanka,Energy,Sovereign,Sri Lanka: New Habarana - Kappalthurai Transmission Grid Expansion Project,Proposed Funding: USD35 million,Proposed
-,China,Transport,Sovereign,China: China- ASEAN Sea-Rail Multimodal Logistics Project,Proposed Funding: USD300 million,Proposed
2021,India,Urban,Sovereign,India: Punjab Municipal Services Improvement Project,Approved Financing: USD105 million,Approved
2020,Maldives,Urban,Sovereign,Maldives: Greater Malé Waste-to- Energy Project,Approved Financing: USD40 million,Approved
2024,Maldives,Other,Sovereign,Maldives: Strengthening Fiscal Management and Sustainability Program,Approved Financing: USD15 million,Approved
2019,Pakistan,Transport,Sovereign,Pakistan: Karachi Bus Rapid Transit Red Line Project,Approved Financing: USD71.81 million,Approved
2021,Rwanda,CRF-Economic Resilience/PBF,Sovereign,"Rwanda: Rwanda Digital Acceleration Project (Digital Investment for Recovery, Resilience and Connectivity)",Approved Financing: USD100 million,Approved
2019,Uzbekistan,Rural Infrastructure and Agriculture Development,Sovereign,Uzbekistan: Rural Infrastructure Development Project (Previously: Prosperous Villages Project),Approved Financing: USD82 million,Approved
2021,Uzbekistan,Urban,Sovereign,Uzbekistan: Medium-size Cities Integrated Urban Development Project,Approved Financing: USD100 million,Approved
2025,Kazakhstan,Energy,Nonsovereign,Kazakhstan: CPIH Kazakhstan 220MW Wind Portfolio,Approved Financing: USD88 million,Approved
-,Indonesia,Energy,Sovereign,Indonesia: Strengthening Sumatra Power Distribution Results-Based Project,Proposed Funding: USD500 million,Proposed
2024,Türkiye,Energy,Nonsovereign,Türkiye: Uludağ Electricity Distribution Network Upgrade and Modernization Project,Approved Financing: USD28 million,Terminated / Cancelled
2025,Bangladesh,Multi-sector,Nonsovereign,Bangladesh: Sustainable Private Capital Infrastructure Financing,Approved Financing: USD50 million,Approved
2025,Uzbekistan,Energy,Nonsovereign,Uzbekistan: ACWA Power Renewable Energy Loan (Previously: ACWA Power Sustainable Energy Development Capital Facility),Approved Financing: USD150 million,Approved
-,China,Urban,Sovereign,China: Liaoning Panjin Urban Climate Resilience with Nature Based Approaches for Sustainable Municipal Service Infrastructure,Proposed Funding: USD200 million,Proposed
-,China,Education Infrastructure,Nonsovereign,China: Minsheng Green Campus Facility,Proposed Funding: USD60 million,Proposed
2024,Egypt,Other,Sovereign,"Egypt: Generating Resilience, Opportunities, and Welfare for a Thriving Egypt",Approved Financing: USD300 million,Approved
2022,Mongolia,CRF-Economic Resilience/PBF,Sovereign,Mongolia: Weathering Exogenous Shocks Program,Approved Financing: USD100 million,Approved
2024,India,Transport,Nonsovereign,India: MEAL E- Mobility (an investment through BII India EV LLP),Approved Financing: USD53 million,Approved
2020,Cook Islands,CRF-Economic Resilience/PBF,Sovereign,Cook Islands: COVID-19 Active Response and Economic Support Program,Approved Financing: USD20 million,Approved
2017,India,Multi-sector,Nonsovereign,India: North Haven India Infrastructure Fund (Previously: India Infrastructure Fund),Approved Financing: USD150 million,Approved
2023,India,Multi-sector,Nonsovereign,India: LOK Capital Fund 4,Approved Financing: USD30 million,Approved
2022,Côte d'Ivoire,CRF-Public Health,Sovereign,Côte d’Ivoire: Strengthening of Vaccination and Health Systems under the COVID- 19 Strategic Preparedness and Response Project,Approved Financing: USD100 million,Approved
2024,Bangladesh,Other,Sovereign,Bangladesh: Climate Resilient Inclusive Development Program (Subprogram 1),Approved Financing: USD400 million,Approved
2021,Bangladesh,Transport,Sovereign,Bangladesh: Mymensingh Kewatkhali Bridge Project,Approved Financing: USD260 million,Approved
2024,Kazakhstan,Transport,Sovereign,Kazakhstan: Transport Resilience and Connectivity Enhancement Project (Jezkazgan- Karagandy section of Trans-Caspian International Transport Route (Middle Corridor)) (Previously: Strategic Road Connectivity and Sector Modernization Project),Approved Financing: USD650 million,Approved
2022,Türkiye,CRF-Public Health,Sovereign,Türkiye: COVID-19 Vaccine Project under the COVID- 19 Crisis Recovery Facility,Approved Financing: USD250 million,Approved
2016,Indonesia,Urban,Sovereign,Indonesia: National Slum Upgrading Project,Approved Financing: USD216.5 million,Approved
2024,Azerbaijan,Energy,Nonsovereign,Azerbaijan: Banka and Bilasuvar 760 MW Solar PV Power Project,Approved Financing: USD170 million,Approved
2017,Multicountry,Multi-sector,Nonsovereign,Multicountry: International Finance Corporation Emerging Asia Fund,Approved Financing: USD150 million,Approved
2019,Multicountry,Multi-sector,Nonsovereign,Multicountry: Asia Investment Limited Partnership Fund (Previously: Asia Investment Fund),Approved Financing: USD75 million,Approved
2019,Multicountry,Energy,Nonsovereign,Multicountry: SUSI Asia Energy Transition Fund,Approved Financing: USD100.0 million,Approved
-,Indonesia,Transport,Sovereign,Indonesia: Batam Bintan Bridge Project,Proposed Funding: USD300 million,Proposed
2020,Multicountry,Multi-sector,Nonsovereign,Multicountry: Keppel Asia Infrastructure Fund,Approved Financing: USD150 million,Approved
2021,Multicountry,Multi-sector,Nonsovereign,Multicountry: STIC Asia Infrastructure Innovation Fund,Approved Financing: USD60 million,Approved
2022,China,Multi-sector,Nonsovereign,China: NIO Capital Eve ONE Fund II,Approved Financing: USD50 million,Approved
2024,India,Transport,Nonsovereign,India: Electric Bus Financing Project,Approved Financing: USD50 million,Approved
2023,Brazil,Energy,Nonsovereign,Brazil: Vinci Climate Change Fund,Approved Financing: USD50 million,Approved
2022,India,Multi-sector,Nonsovereign,India: Kotak Infrastructure Investment Fund,Approved Financing: USD100 million,Approved
2022,Multicountry,Multi-sector,Nonsovereign,Multicountry: Southeast Asia Women’s Economic Empowerment Fund,Approved Financing: USD10 million,Approved
2022,Multicountry,Other,Nonsovereign,Multicountry: CITIC Capital Pan Eurasia Fund - Co- Investment Superfreeze Cold Storage Logistics (Multicountry),Approved Financing: USD15 million,Approved
2019,Multicountry,Multi-sector,Nonsovereign,Multicountry: CITIC Capital Pan Eurasia Fund,Approved Financing: USD125.0 million,Approved
2020,China,Digital Infrastructure and Technology,Nonsovereign,China: Legend Capital Healthcare Technology Fund,Approved Financing: USD30 million,Approved
2018,India,Transport,Sovereign,India: Madhya Pradesh Rural Connectivity,Approved Financing: USD140 million,Approved
2024,China,Education Infrastructure,Nonsovereign,China: Yantai Higher Vocational School Project,Approved Financing: USD95 million,Approved
2017,Indonesia,Water,Sovereign,Indonesia: Dam Operational Improvement and Safety Project Phase II,Approved Financing: USD125 million,Approved
2020,Fiji,CRF-Economic Resilience/PBF,Sovereign,Fiji: Sustained Private Sector-Led Growth Reform Program,Approved Financing: USD50 million,Approved
2023,China,Multi-sector,Nonsovereign,China: GL Capital China Opportunities Fund IV,Approved Financing: USD25 million,Approved
2021,Multicountry,Digital Infrastructure and Technology,Nonsovereign,Multicountry: Data Center Development in Emerging Asia,Approved Financing: USD150 million,Approved
2023,Multicountry,Multi-sector,Nonsovereign,Multicountry: Catalyst MENA Climate Fund 2 (“CMCF2”),Approved Financing: USD20 million,Terminated / Cancelled
-,Bahrain,Transport,Sovereign,Bahrain: Bahrain SKBS Port Road Interchange Project,Proposed Funding: USD140 million,Proposed
-,Uzbekistan,Water,Sovereign,Uzbekistan: Karakalpakstan and Khorezm Water Supply and Sanitation Project,Proposed Funding: USD430.1 million,Proposed
-,Bangladesh,Transport,Sovereign,Bangladesh: Hatikumrul- Bonpara-Jhenaidah Phase I Road Improvement Project,Proposed Funding: USD333.9 million,Proposed
2021,Hungary,CRF-Public Health,Sovereign,Hungary: Emergency Assistance for Healthcare Expenditures,Approved Financing: USD216.1 million,Approved
-,Bangladesh,Energy,Sovereign,Bangladesh: Electricity Distribution Modernization (Rajshahi-Rangpur Divisions) Project,Proposed Funding: USD350 million,Proposed
-,Bangladesh,Energy,Sovereign,Bangladesh: Electricity Distribution Modernization (Chattogram and Sylhet Divisions) Project,Proposed Funding: USD531 million,Proposed
2024,Singapore,Multi-sector,Nonsovereign,Singapore: Project Merlion,Approved Financing: USD350 million,Approved
2024,Hungary,Energy,Nonsovereign,Hungary: OTP Green Energy Capacity Expansion Bond Investment,Approved Financing: USD200 million,Approved
2020,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: COVID- 19 Active Response and Expenditure Support (CARES) Program,Approved Financing: USD750 million,Approved
2016,Bangladesh,Energy,Sovereign,Bangladesh: Distribution System Upgrade and Expansion,Approved Financing: USD165 million,Approved
2024,Viet Nam,Multi-sector,Nonsovereign,Viet Nam: Supporting green and blue infrastructure development and capital market in Viet Nam,Approved Financing: USD75 million,Approved
-,China,Urban,Sovereign,China: Yingkou Green Smart Trade Zone Development Project,Proposed Funding: USD200 million,Proposed
2022,Multicountry,Multi-sector,Nonsovereign,Multicountry: Everbright Infrastructure Investment Fund II,Approved Financing: USD100 million,Terminated / Cancelled
2021,India,Energy,Nonsovereign,India: India City Gas Distribution (CGD) Financing AGPCGPL,Approved Financing: USD75 million,Terminated / Cancelled
2024,India,Multi-sector,Nonsovereign,India: NIIF PMF II,Approved Financing: USD125 million,Approved
2024,India,Energy,Nonsovereign,India: ENGIE Solar Power Project,Approved Financing: USD88.5 million,Approved
-,China,Urban,Sovereign,China: Guizhou Liupanshui Smart Urban Transformation Demonstration Project,Proposed Funding: USD400 million,Proposed
2018,Multicountry,Multi-sector,Nonsovereign,Multicountry: AIIB Asia ESG Enhanced Credit Managed Portfolio,Approved Financing: USD500 million,Approved
2024,Türkiye,Other Productive Sector,Nonsovereign,Türkiye: Smart Solar Manufacturing Project,Approved Financing: USD30 million,Approved
2024,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Airport Expansion Project (Upsize Facility),Approved Financing: EUR75 million,Approved
2024,Multicountry,Multi-sector,Nonsovereign,Multicountry: Actis Asia Climate Transition Fund,Approved Financing: USD100 million,Approved
2024,Bangladesh,Urban,Sovereign,Bangladesh: Bangladesh Integrated Solid Waste Management Improvement Project,Approved Financing: USD200 million,Approved
2023,India,Energy,Nonsovereign,India: Project Meridian,Approved Financing: USD73 million,Approved
2023,Pakistan,CRF-Economic Resilience/PBF,Sovereign,Pakistan: Second Resilient Institutions for Sustainable Economy (RISE-II) Development Policy Financing,Approved Financing: USD250 million,Approved
2023,Indonesia,Economic Resilience / PBF,Sovereign,"Indonesia: Competitiveness, Industrial Modernization, and Trade Acceleration Program (CITA) – Subprogram 2",Approved Financing: USD500 million,Approved
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: Philippines – Inclusive Finance Development Program (Subprogram 3),Approved Financing: USD300 million,Approved
2023,Kazakhstan,Energy,Nonsovereign,Kazakhstan: Shokpar 100MW Wind Power Project,Approved Financing: USD40 million,Approved
2023,Singapore,Multi-sector,Nonsovereign,Singapore: BIC IV,Approved Financing: USD80 million,Approved
2023,Multicountry,Multi-sector,Nonsovereign,Multicountry: A.P. Moller Capital Emerging Market Infrastructure Fund II,Approved Financing:,Approved
2023,Bangladesh,Transport,Nonsovereign,Bangladesh: Rampura-Amulia- Demra (RAD) Expressway Project,Approved Financing: USD75 million,Approved
2023,Multicountry,Digital Infrastructure and Technology,Nonsovereign,Multicountry: DigitalBridge Emerging Market Digital Infrastructure Fund,Approved Financing:,Approved
2023,Multicountry,Multi-sector,Sovereign,Multicountry: Guarantee Facility of International Bank for Reconstruction and Development Loans,"Approved Financing: USD1,000 million",Approved
-,China,Urban,Sovereign,China: Shaanxi Ankang Green and Low-Carbon Demonstration Urban Development Project,Proposed Funding: USD300 million,Proposed
-,Viet Nam,Energy,Nonsovereign,Viet Nam: Viet Nam Gia Lai Wind Power Project,Proposed Funding: USD60 million,Proposed
-,Viet Nam,Energy,Nonsovereign,Viet Nam: Dak Lak Wind Power Project,Proposed Funding: USD100 million,Proposed
2023,"Hong Kong, China",Multi-sector,Nonsovereign,"Hong Kong, China: Project Ocean",Approved Financing: USD300 million,Approved
2023,Singapore,Transport,Nonsovereign,Singapore: Regional Transport Connectivity Project,Approved Financing: USD70 million,Approved
-,China,Transport,Sovereign,China: Hunan Inland Waterway Green Port Project,Proposed Funding: USD200 million,Proposed
-,China,Transport,Sovereign,China: Ningbo Green and Low- Carbon Port Development Project,Proposed Funding: USD350 million,Proposed
-,China,Water,Sovereign,China: Guangxi Beihai Lianzhou Bay Marine Ecological Restoration and Protection Project,Proposed Funding: USD300 million,Proposed
2023,Multicountry,Health Infrastructure,Nonsovereign,Multicountry: Quadria Capital Fund III,Approved Financing: USD50 million,Approved
-,China,Urban,Sovereign,China:Inner Mongolia Ulanhot Green and Climate Resilient Urban Development Project,Proposed Funding: USD250 million,Proposed
2023,Multicountry,Multi-sector,Nonsovereign,Multicountry: Seraya SEA Energy Transition and DI Fund,Approved Financing: USD120 million,Approved
2023,Philippines,CRF-Economic Resilience/PBF,Sovereign,Philippines: Post- Covid-19 Business and Employment Recovery Program - Subprogram 1,Approved Financing: USD500 million,Approved
-,China,Transport,Sovereign,China: Jiangmen Smart Intercity Railway Line for Sustainable Development of the Greater Bay Area,Proposed Funding: USD400 million,Proposed
2023,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Airport Expansion Project,Approved Financing: USD150 million,Approved
2022,China,Transport,Nonsovereign,China: Lionbridge Leasing EV Transport Green Transition Facility,Approved Financing: USD60 million,Approved
2022,Uzbekistan,CRF-Economic Resilience/PBF,Sovereign,Uzbekistan: Advancing Uzbekistan Economic and Social Transformation Development Policy Operation,Approved Financing: USD530 million,Approved
2022,Bangladesh,Energy,Nonsovereign,Bangladesh: Unique Meghnaghat IPP,Approved Financing: USD110 million,Approved
2022,Bangladesh,CRF-Economic Resilience/PBF,Sovereign,Bangladesh: Strengthening Social Resilience Program (Subprogram 2),Approved Financing: USD250 million,Approved
2022,Türkiye,Multi-sector,Sovereign,"Türkiye: TSKB Sustainable Energy and Infrastructure On-lending Facility, Phase 2",Approved Financing: USD200 million,Approved
2022,Multicountry,Multi-sector,Nonsovereign,Multicountry: Rakiza Fund I,Approved Financing: USD50 million,Approved
2022,Singapore,Multi-sector,Nonsovereign,Singapore: Asia Infrastructure Securitization Program II,Approved Financing: USD80 million,Approved
2022,Fiji,CRF-Economic Resilience/PBF,Sovereign,Fiji: Sustainable and Resilient Recovery Program for Fiji,Approved Financing: USD50 million,Approved
2022,Multicountry,Energy,Nonsovereign,Multicountry: Alcazar Energy Partners II (“AEP- II”),Approved Financing: USD50 million,Approved
2022,India,Energy,Nonsovereign,Solar IPP Equity Investment,Approved Financing: USD50 million,Approved
-,Indonesia,Transport,Sovereign,Indonesia: Trans- Sumatra Toll Road Project – Cinto Kenang to Sentjalang,"Proposed Funding: USD1,200 million",Proposed
2022,Cambodia,CRF- Finance/Liquidity,Nonsovereign,Cambodia: Cambodia PRASAC COVID- 19 Response Facility,Approved Financing: USD75 million,Approved
2022,Indonesia,Energy,Sovereign,Indonesia: Development of Pumped Storage Hydropower in Java Bali System (the Project),Approved Financing: USD230 million,Approved
2022,China,Transport,Nonsovereign,China: GLP China Logistics Fund III,Approved Financing: USD125 million,Approved
2022,India,Water,Sovereign,India: Second Dam Rehabilitation and Improvement Project,Approved Financing: USD250 million,Approved
2022,China,Multi-sector,Nonsovereign,China: China EXIM Bank Green On- lending Facility,Approved Financing: USD200 million,Approved
2022,India,CRF-Public Health,Sovereign,India: Responsive COVID-19 Vaccines for Recovery Project,Approved Financing: USD500 million,Approved
-,Türkiye,Transport,Nonsovereign,Türkiye: Izmir Metro Phase 5: Üçyol - Buca Line,Proposed Funding: EUR125 million,Proposed
2021,Oman,Digital Infrastructure and Technology,Nonsovereign,Oman: Oman Broadband Company – Tranche 2,Approved Financing: USD46 million,Terminated / Cancelled
2021,Philippines,CRF-Public Health,Sovereign,Philippines: Second Health System Enhancement to Address and Limit COVID-19 Under the Asia Pacific Vaccine Access Facility Additional Financing Project (HEAL2-AF),Approved Financing: USD250 million,Terminated / Cancelled
2021,Türkiye,Energy,Nonsovereign,Türkiye: Osmangazi Electricity Distribution Network Modernization and Expansion Project,Approved Financing: USD85 million,Approved
2021,Egypt,CRF-Economic Resilience/PBF,Sovereign,Egypt: Inclusive Growth for Sustainable Recovery DPF Program,Approved Financing: USD360 million,Approved
2021,Viet Nam,Energy,Nonsovereign,Viet Nam: Dakdrinh 125MW Hydropower Plant,Approved Financing: USD47.5 million,Approved
2021,Bangladesh,CRF-Economic Resilience/PBF,Sovereign,Bangladesh: Bangladesh Sustainable Economic Recovery Program (Subprogram 1),Approved Financing: USD250 million,Approved
2021,China,Digital Infrastructure and Technology,Nonsovereign,China: Sinovation Disrupt Fund,Approved Financing: USD75 million,Approved
2021,Multicountry,Multi-sector,Nonsovereign,Multicountry: Keppel-Pierfront Private Credit Fund L.P,Approved Financing: USD150 million,Approved
2021,India,CRF-Economic Resilience/PBF,Sovereign,India: Creating a Coordinated and Responsive Indian Social Protection System (CCRISP),Approved Financing: USD500 million,Approved
2021,Azerbaijan,CRF-Economic Resilience/PBF,Sovereign,Azerbaijan: Republic of Azerbaijan COVID- 19 Active Response and Expenditure Support (CARES) Program,Approved Financing: USD100 million,Approved
2021,Indonesia,CRF-Public Health,Sovereign,Indonesia: Emergency Response to COVID-19 Program - Additional Financing,Approved Financing: USD500 million,Approved
2021,Multicountry,Multi-sector,Nonsovereign,Multicountry: Global Infrastructure Partners Emerging Markets Fund I (“GIP EM” or the “Fund”),Approved Financing: USD150 million,Approved
2021,Singapore,Multi-sector,Nonsovereign,Singapore: Asia Infrastructure Securitization Program,Approved Financing: USD80 million,Approved
2021,Türkiye,CRF- Finance/Liquidity,Sovereign,Türkiye: Eximbank COVID-19 Credit Line Project,Approved Financing: USD250 million,Approved
2021,Multicountry,Multi-sector,Nonsovereign,Multicountry: Aberdeen Standard Investcorp Infrastructure Partners,Approved Financing: USD90 million,Approved
2021,Philippines,CRF-Public Health,Sovereign,Philippines: Second Health System Enhancement to Address and Limit COVID-19 under Asia Pacific Vaccine Access Facility Project (HEAL 2),Approved Financing: USD300 million,Approved
2021,Maldives,Energy,Sovereign,Maldives: Solar Power Development and Energy Storage Solution,Approved Financing: USD20 million,Approved
2021,Bangladesh,CRF- Finance/Liquidity,Sovereign,Bangladesh: COVID-19 Emergency and Crisis Response Facility,Approved Financing: USD300 million,Approved
2021,Indonesia,Energy,Sovereign,Indonesia: PLN East Java & Bali Power Distribution Strengthening Project,Approved Financing: USD310 million,Approved
2021,Multicountry,Multi-sector,Nonsovereign,Multi-Country: ISQ Growth Markets Infrastructure Fund,Approved Financing: USD150 million,Approved
2020,India,Energy,Nonsovereign,India: Ayana Anantapuramu NTPC Solar Project,Approved Financing: USD35 million,Terminated / Cancelled
2020,Multicountry,Energy,Nonsovereign,Multicountry: ADM Capital [Elkhorn] Emerging Asia Renewable Energy Fund,Approved Financing: USD100 million,Terminated / Cancelled
2020,Uzbekistan,CRF- Finance/Liquidity,Sovereign,Uzbekistan: National Bank for Foreign Economic Activity of the Republic of Uzbekistan COVID- 19 Credit Line Project,Approved Financing: USD200 million,Terminated / Cancelled
2020,India,Transport,Sovereign,India: Delhi-Meerut Regional Rapid Transit System,Approved Financing: USD500 million,Approved
2020,Russian Federation,CRF- Finance/Liquidity,Nonsovereign,Russian Federation: Russian Railways COVID-19 Emergency Response Project,Approved Financing: USD300 million,On Hold
2020,Multicountry,Digital Infrastructure and Technology,Nonsovereign,Multicountry: Lightsmith Climate Resilience Partners,Approved Financing: USD30 million,Approved
2020,Viet Nam,CRF- Finance/Liquidity,Nonsovereign,Viet Nam: VP Bank COVID-19 Response Facility,Approved Financing: USD100 million,Approved
2020,Georgia,CRF-Economic Resilience/PBF,Sovereign,Georgia: Economic Management and Competitiveness Program: COVID- 19 Crisis Mitigation,Approved Financing: USD50 million,Approved
2020,Türkiye,Transport,Nonsovereign,Türkiye: Izmir Metro Expansion Phase 4: Fahrettin Altay – Narlidere Line Project,Approved Financing: USD56 million,Approved
2020,Pakistan,CRF-Economic Resilience/PBF,Sovereign,Pakistan: Resilient Institutions for Sustainable Economy (RISE) Program,Approved Financing: USD250 million,Approved
2020,Türkiye,CRF- Finance/Liquidity,Sovereign,Türkiye: COVID-19 Credit Line Project,Approved Financing: USD500 million,Approved
2020,Kazakhstan,CRF-Economic Resilience/PBF,Sovereign,Kazakhstan: COVID-19 Active Response and Expenditure Support (CARES) Program,Approved Financing: USD750 million,Approved
2020,Indonesia,CRF-Public Health,Sovereign,Indonesia: Emergency Response to COVID-19 Program,Approved Financing: USD250 million,Approved
2020,Pakistan,CRF-Economic Resilience/PBF,Sovereign,Pakistan: COVID- 19 Active Response and Expenditure Support (CARES) Program,Approved Financing: USD500 million,Approved
2020,India,CRF-Economic Resilience/PBF,Sovereign,India: COVID-19 Active Response and Expenditure Support (CARES),Approved Financing: USD750 million,Approved
2020,Mongolia,CRF-Economic Resilience/PBF,Sovereign,Mongolia: COVID- 19 Rapid Response Program,Approved Financing: USD100 million,Approved
2020,Georgia,CRF-Public Health,Sovereign,Georgia: Emergency COVID- 19 Response Project,Approved Financing: USD100 million,Approved
2020,Bangladesh,CRF-Economic Resilience/PBF,Sovereign,Bangladesh: COVID-19 Active Response and Expenditure Support (CARES) Program,Approved Financing: USD250 million,Approved
2020,Indonesia,CRF-Economic Resilience/PBF,Sovereign,Indonesia: COVID- 19 Active Response and Expenditure Support Program,Approved Financing: USD750 million,Approved
2020,India,CRF-Public Health,Sovereign,India: COVID-19 Emergency Response and Health Systems Preparedness Project,Approved Financing: USD500 million,Approved
2020,Bangladesh,Water,Sovereign,Bangladesh: Dhaka Sanitation Improvement,Approved Financing: USD170 million,Approved
2020,China,CRF-Public Health,Sovereign,China: Emergency Assistance to China Public Health Infrastructure Project,Approved Financing: USD355 million,Approved
2019,Bangladesh,Water,Sovereign,Bangladesh: Municipal Water Supply and Sanitation Project,Approved Financing: USD100 million,Approved
2019,Bangladesh,Energy,Sovereign,Bangladesh: Power System Upgrade and Expansion,Approved Financing: USD120 million,Approved
2019,Cambodia,Digital Infrastructure and Technology,Nonsovereign,Cambodia: Fiber Optic Communication Network Project,Approved Financing: USD75 million,Approved
2019,Egypt,Multi-sector,Nonsovereign,Egypt: National Bank of Egypt On- Lending Facility for Infrastructure,Approved Financing: USD150 million,Approved
2019,India,Energy,Nonsovereign,India: L&T- Sustainable Infrastructure on- lending Facility,Approved Financing: USD100 million,Approved
2019,India,Energy,Nonsovereign,India: Rajasthan 250 MW Solar Project–Hero Future Energies,Approved Financing: USD65 million,Terminated / Cancelled
2019,India,Multi-sector,Nonsovereign,India: Tata Cleantech Sustainable Infrastructure On- Lending Facility,Approved Financing: USD75 million,Approved
2019,Pakistan,Water,Sovereign,Pakistan: Karachi Water and Sewerage Services Improvement,Approved Financing: USD40 million,Approved
2019,Russian Federation,Transport,Sovereign,Russian Federation: Infrastructure Development Program (Previously: Russian Federation Transport Sector Investment Loan),Approved Financing: USD500 million,Terminated / Cancelled
2019,Singapore,Multi-sector,Nonsovereign,Singapore: Infrastructure Private Capital Mobilization Platform,Approved Financing: USD54 million,Approved
-,Bangladesh,Energy,Sovereign,Bangladesh: Ultra- high Voltage Transmission line Madunaghat-Bhulta and Sustainable Electricity Access Project,Proposed Funding: USD470 million,Proposed
2018,Bangladesh,Energy,Nonsovereign,Bangladesh: Bangladesh Bhola IPP,Approved Financing: USD60 million,Approved
2018,India,Multi-sector,Nonsovereign,India: National Investment and Infrastructure Fund Phase I,Approved Financing: USD100 million,Approved
2018,Türkiye,Energy,Sovereign,Türkiye: TSKB Sustainable Energy and Infrastructure On-lending Facility,Approved Financing: USD200 million,Approved
2018,India,Transport,Nonsovereign,India: OSE InvIT,Approved Financing: USD50 million,Approved
2017,Bangladesh,Energy,Sovereign,Bangladesh: Natural Gas Infrastructure and Efficiency Improvement,Approved Financing: USD60 million,Approved
2017,China,Energy,Nonsovereign,China: Beijing Air Quality Improvement and Coal Replacement,Approved Financing: USD250 million,Approved
2017,India,Energy,Sovereign,India: Andhra Pradesh 24x7 – Power For All,Approved Financing: USD160 million,Approved
2017,India,Transport,Sovereign,India: Gujarat Rural Roads (MMGSY),Approved Financing: USD329 million,Approved
2017,India,Energy,Sovereign,India: Transmission System Strengthening (Tamil Nadu),Approved Financing: USD100 million,Approved
2017,Indonesia,Urban,Sovereign,Indonesia: Regional Infrastructure Development Fund,Approved Financing: USD100 million,Approved
2017,Oman,Digital Infrastructure and Technology,Nonsovereign,Oman: Oman Broadband Infrastructure,Approved Financing: USD152.1 million,Approved
2016,Azerbaijan,Energy,Sovereign,Azerbaijan: Trans Anatolian Natural Gas Pipeline Project (TANAP),Approved Financing: USD600 million,Approved
